7.4515e-04,6.9629e-04,1.0000e-02,8.6184e-01,7.6623e-01,7.7422e-01,3.0000e-01,5.1816e-01,4.9789e-01
7.1962e-04,6.8174e-04,3.0000e-02,8.6619e-01,7.7278e-01,7.7776e-01,3.0000e-01,5.9813e-01,5.2431e-01
9.5933e-04,7.6284e-04,1.0000e-04,8.2698e-01,6.6696e-01,7.1926e-01,3.0000e-01,4.3662e-01,4.5667e-01
1.4494e-03,1.2079e-03,1.0000e-06,4.5488e-01,4.9137e-01,4.8999e-01,3.0000e-01,4.8981e-01,4.9011e-01
8.6139e-04,7.2657e-04,7.0000e-04,8.5163e-01,7.2105e-01,7.5597e-01,3.0000e-01,4.9014e-01,4.9656e-01
1.5390e-03,1.3511e-03,1.0000e-05,4.5578e-01,4.7797e-01,4.7261e-01,3.0000e-01,4.5208e-01,4.6222e-01
8.5802e-04,7.1099e-04,1.0000e-03,8.5330e-01,7.2723e-01,7.5933e-01,3.0000e-01,5.6506e-01,5.4824e-01
7.6046e-04,6.9980e-04,6.0000e-03,8.5952e-01,7.6170e-01,7.7121e-01,3.0000e-01,4.5623e-01,4.7318e-01
7.6229e-04,7.0455e-04,5.0000e-03,8.5854e-01,7.5872e-01,7.6829e-01,3.0000e-01,5.7522e-01,5.4813e-01
7.0752e-04,6.7617e-04,7.0000e-02,8.6866e-01,7.7632e-01,7.7623e-01,3.0000e-01,6.7546e-01,5.8051e-01
1.0087e-03,7.9888e-04,8.0000e-05,8.1608e-01,6.6058e-01,7.1526e-01,3.0000e-01,6.0249e-01,5.6856e-01
7.1208e-04,6.7739e-04,5.0000e-02,8.6774e-01,7.7561e-01,7.7873e-01,3.0000e-01,6.4082e-01,5.2650e-01
6.7450e-04,6.8807e-04,2.0000e-01,8.6752e-01,7.7729e-01,7.8098e-01,3.0000e-01,7.3282e-01,5.9851e-01
1.0646e-03,8.3757e-04,5.0000e-05,7.8149e-01,6.2548e-01,7.0336e-01,3.0000e-01,5.1720e-01,5.0298e-01
7.0418e-04,6.7261e-04,1.0000e-01,8.6840e-01,7.7747e-01,7.7831e-01,3.0000e-01,7.2335e-01,6.1903e-01
2.5866e-04,1.1240e-03,8.0000e-01,8.4525e-01,7.7099e-01,7.6887e-01,3.0000e-01,7.4340e-01,6.8164e-01
1.4201e-03,1.2317e-03,5.0000e-06,4.4225e-01,4.7764e-01,4.7375e-01,3.0000e-01,4.6732e-01,4.7455e-01
7.4632e-04,6.9575e-04,9.0000e-03,8.6111e-01,7.6627e-01,7.7770e-01,3.0000e-01,5.3545e-01,5.0939e-01
7.7203e-04,7.0194e-04,3.0000e-03,8.5883e-01,7.4985e-01,7.6805e-01,3.0000e-01,5.5207e-01,5.4050e-01
5.7224e-04,8.3578e-04,5.0000e-01,8.4563e-01,7.6565e-01,7.6757e-01,3.0000e-01,7.3802e-01,6.6367e-01
7.0391e-04,6.7594e-04,9.0000e-02,8.6847e-01,7.7804e-01,7.7879e-01,3.0000e-01,7.0796e-01,6.2811e-01
9.1185e-04,7.2407e-04,3.0000e-04,8.4608e-01,7.0817e-01,7.5504e-01,3.0000e-01,5.2925e-01,5.2396e-01
